sentence,language,intent,product_mentioned
aata 5 kg daalo please,Hindi,add_stock,unknown
sahaya beku,Kannada,help,unknown
expected sales for flour tomorrow,English,get_prediction,flour
purchase 20 kg wheat please,English,add_stock,unknown
hittu 25 kg order karo quickly,Code-Mixed,add_stock,flour
hosa maal bandide haaku please,Kannada,add_stock,unknown
prediction arthavenu,Kannada,help,unknown
what will be needed on sunday now,English,get_prediction,unknown
dal ka stock check karo please,Hindi,check_stock,dal
ee vaara enne eshtu beku now,Kannada,get_prediction,oil
delivery ke baad update karo please,Hindi,add_stock,unknown
masala bharo please,Hindi,add_stock,unknown
help me with inventory now,English,help,unknown
getting started please help today,Code-Mixed,help,unknown
rice ka 10 kg add karo please quickly,Code-Mixed,add_stock,rice
stock check for today,English,check_stock,unknown
what is our current flour stock,English,check_stock,flour
bread stock haaku,Kannada,add_stock,unknown
sabun kitna bacha dukaan mein,Hindi,check_stock,soap
getting started please help now,Code-Mixed,help,unknown
stock add maadalu heli please,Kannada,help,dal
20 kg gehu kharido,Hindi,add_stock,unknown
features kya hain explain karo now,Code-Mixed,help,unknown
kya available hai today please,Code-Mixed,check_stock,unknown
how many units of dal,English,check_stock,dal
doodh ki demand kya hogi please,Hindi,get_prediction,milk
akki stock eshtu ide check karo please,Code-Mixed,check_stock,rice
haalu ide ya,Kannada,check_stock,milk
kal ke liye aata kitna chahiye now,Hindi,get_prediction,unknown
stock alert do now,Hindi,low_stock_alert,unknown
show me all stock levels,English,check_stock,unknown
items running out fast please,English,low_stock_alert,unknown
namak kitna pada hai,Hindi,check_stock,salt
tutorial chahiye help karo,Code-Mixed,help,unknown
stock add karne ka tarika batao please,Hindi,help,unknown
indina shortage heli please,Kannada,low_stock_alert,unknown
khali shelf kaun si,Hindi,low_stock_alert,unknown
demand forecast chahiye now,Hindi,get_prediction,unknown
how does prediction work now,English,help,unknown
what will sell most tomorrow,English,get_prediction,unknown
slow item batao now,Hindi,get_prediction,unknown
rice ka 10 kg add karo please asap,Code-Mixed,add_stock,rice
zero stock yaav ide now,Kannada,low_stock_alert,unknown
stock update for all items,English,check_stock,unknown
avalakki eshtu ide,Kannada,check_stock,rice
check the egg stock,English,check_stock,unknown
festival ke liye stock badhao,Hindi,add_stock,unknown
add 50 packets of noodles,English,add_stock,unknown
sakkare eshtu remaining,Code-Mixed,check_stock,sugar
alert hege set maadali now,Kannada,help,dal
hege start maadali please,Kannada,help,dal
help chahiye kaise use karu asap,Code-Mixed,help,unknown
hittu stock heli,Kannada,check_stock,flour
emergency alli yaav order maadali please,Kannada,low_stock_alert,dal
ee vaara enne eshtu beku please,Kannada,get_prediction,oil
explain stock prediction now,English,help,unknown
what can you do please,English,help,unknown
akki eshtu ide,Kannada,check_stock,rice
getting started guide please,English,help,unknown
5 litre tel ka tin daalo please,Hindi,add_stock,oil
what needs urgent reorder now,English,low_stock_alert,unknown
check low items first,English,check_stock,unknown
predict sales for tomorrow please abhi,Code-Mixed,get_prediction,unknown
stock low hai kya aaj please,Code-Mixed,low_stock_alert,unknown
enne 5 litre haaku stock mein now,Code-Mixed,add_stock,oil
how much cardamom left,English,check_stock,unknown
hittu 25 kg order karo please,Code-Mixed,add_stock,flour
kya khatam ho raha hai tell me please,Code-Mixed,low_stock_alert,oil
alert hege set maadali,Kannada,help,dal
kitne bag chawal ke hain,Hindi,check_stock,rice
bele 10 kg add please,Code-Mixed,add_stock,dal
sabun order karo please,Hindi,add_stock,soap
bele forecast heli quickly,Kannada,get_prediction,dal
coffee eshtu ide,Kannada,check_stock,unknown
alert me for low stock,English,low_stock_alert,unknown
how to view reports,English,help,unknown
enne stock remaining eshtu please,Code-Mixed,check_stock,oil
rice ka stock check karo please,Code-Mixed,check_stock,rice
what is almost over now,English,low_stock_alert,unknown
kaunsa item kam ho raha hai,Hindi,low_stock_alert,unknown
akki biku andaaja kodu please,Kannada,get_prediction,rice
naale best seller yaav now,Kannada,get_prediction,unknown
aaj kya order karna padega jaldi,Code-Mixed,low_stock_alert,unknown
almost mugiyitu enu,Kannada,low_stock_alert,unknown
restock sab items karo,Code-Mixed,add_stock,unknown
ghee badhao stock mein,Hindi,add_stock,ghee
critical stock alert now,English,low_stock_alert,unknown
enu maadabahudu,Kannada,help,unknown
kaise use karu quickly,Hindi,help,unknown
somvara ge forecast heli,Kannada,get_prediction,unknown
quick inventory check maadi please,Code-Mixed,check_stock,unknown
khaali aagutte ide alert kodu please,Kannada,low_stock_alert,unknown
hittu 25 kg order karo,Code-Mixed,add_stock,flour
biscuit mangao,Hindi,add_stock,unknown
ration kitna bacha hai,Hindi,check_stock,unknown
demand forecast for all items,English,get_prediction,unknown
how to add stock batao,Code-Mixed,help,unknown
check namkeen stock,English,check_stock,unknown
aLavo kama stock yaav now,Kannada,low_stock_alert,unknown
benne eshtu baaki,Kannada,check_stock,oil
add 10 kg rice please,English,add_stock,rice
uppu 10 kg jaasti maadi,Kannada,add_stock,salt
naale ge forecast maadi please,Code-Mixed,get_prediction,unknown
tel ki khapat batao now,Hindi,get_prediction,oil
saamaan bandide add maadi please,Kannada,add_stock,unknown
zero stock items now,English,low_stock_alert,unknown
khali shelf kaun si now,Hindi,low_stock_alert,unknown
sabbu 100 haaku please asap,Code-Mixed,add_stock,soap
munde tiNgaLige stock plan,Kannada,get_prediction,unknown
kaunsa item kam ho raha hai please,Hindi,low_stock_alert,unknown
soap inventory check please now,Code-Mixed,check_stock,soap
naale best seller yaav,Kannada,get_prediction,unknown
stock warning kodu,Kannada,low_stock_alert,unknown
kitna maal pada hai,Hindi,check_stock,unknown
predict sales for tomorrow please quickly,Code-Mixed,get_prediction,unknown
kadala bele eshtu ide,Kannada,check_stock,dal
items below minimum level,English,low_stock_alert,unknown
increase juice stock,English,add_stock,unknown
how much should I order for next week now,English,get_prediction,unknown
what stock should I keep for next 7 days please,English,get_prediction,unknown
jasti bikuna yaavudu,Kannada,check_stock,unknown
tutorial chahiye,Hindi,help,unknown
what needs urgent reorder please,English,low_stock_alert,unknown
kishmish kitni bachi,Hindi,check_stock,unknown
chawal ka order do please,Hindi,add_stock,rice
how to check stock please,English,help,unknown
low stock warning please,English,low_stock_alert,unknown
aata ka stock batao,Hindi,check_stock,unknown
how many cold drinks left,English,check_stock,unknown
fast moving items check,English,check_stock,unknown
sabbu eshtu ide please,Kannada,check_stock,soap
mala mili hai add karo,Hindi,add_stock,unknown
urgent order kaun sa item,Hindi,low_stock_alert,unknown
jaldi mugiyutte ide yaav please,Kannada,low_stock_alert,unknown
100 sabbu haaku please,Kannada,add_stock,soap
update inventory after delivery please,English,add_stock,unknown
increase all low items,English,add_stock,unknown
smartstock endare enu now,Kannada,help,unknown
indina shortage heli,Kannada,low_stock_alert,unknown
enne stock remaining eshtu,Code-Mixed,check_stock,oil
rice ka stock check karo please now,Code-Mixed,check_stock,rice
stock shortage warning,English,low_stock_alert,unknown
what is running out please,English,low_stock_alert,unknown
how much oil will I need this week,English,get_prediction,oil
evening stock count,English,check_stock,unknown
dal mangao,Hindi,add_stock,dal
update stock with new delivery please,English,add_stock,unknown
smartstock kya hai aur kaise use kare abhi,Code-Mixed,help,unknown
dal order maadi jaldi please,Code-Mixed,add_stock,dal
ghee badhao stock mein please,Hindi,add_stock,ghee
how to add stock batao abhi,Code-Mixed,help,unknown
inventory update kaise kare,Hindi,help,unknown
tutorial beku quickly,Kannada,help,unknown
check for empty shelves now,English,low_stock_alert,unknown
naya hu kaise shuru karu please,Hindi,help,unknown
kal kitna rice bikega predict karo now,Code-Mixed,get_prediction,rice
alert do low items ke liye quickly,Code-Mixed,low_stock_alert,unknown
50 noodle packet haaku please,Kannada,add_stock,unknown
yaav item jasti biku heli now,Kannada,get_prediction,unknown
items below minimum level now,English,low_stock_alert,unknown
sugar demand forecast please asap,Code-Mixed,get_prediction,sugar
dal order maadi jaldi now,Code-Mixed,add_stock,dal
enu maadabahude now,Kannada,help,unknown
chips stock eshtu,Kannada,check_stock,unknown
stock update karo,Hindi,check_stock,unknown
demand estimate please batao asap,Code-Mixed,get_prediction,unknown
show guide please,English,help,unknown
next week ka demand batao asap,Code-Mixed,get_prediction,unknown
getting started please help please,Code-Mixed,help,unknown
tutorial chahiye please,Hindi,help,unknown
puri inventory dikhao,Hindi,check_stock,unknown
khaali shelf yaav,Kannada,low_stock_alert,unknown
predict demand for sugar next week quickly,English,get_prediction,sugar
kaunsa maal jyada bikta hai,Hindi,check_stock,unknown
check karo dukaan ka maal,Hindi,check_stock,unknown
poorna inventory heli,Kannada,check_stock,unknown
praarambbha hege maadaali,Kannada,help,unknown
how does prediction work,English,help,unknown
stock warning do please,Hindi,low_stock_alert,unknown
predict sales for tomorrow please jaldi,Code-Mixed,get_prediction,unknown
ghee kitna bacha hai,Hindi,check_stock,ghee
running low on what items now,English,low_stock_alert,unknown
naya maal daalo,Hindi,add_stock,unknown
how much should I order for next week,English,get_prediction,unknown
yaav urgent ide please,Kannada,low_stock_alert,unknown
stock shortage list please,English,low_stock_alert,unknown
enne stock remaining eshtu now,Code-Mixed,check_stock,oil
is there enough atta,English,check_stock,flour
what is smartstock please,English,help,unknown
zero stock items,English,low_stock_alert,unknown
kal kitna chawal bikega now,Hindi,get_prediction,rice
chai ka naya stock daalo asap,Code-Mixed,add_stock,tea
getting started guide,English,help,unknown
maida eshtu uliyitu,Kannada,check_stock,flour
store alli enu uliyitu,Kannada,check_stock,unknown
item kaise daale please,Hindi,help,unknown
help me with inventory,English,help,unknown
bele 10 kg add please today,Code-Mixed,add_stock,dal
increase stock before weekend,English,add_stock,unknown
stock status batao,Hindi,check_stock,unknown
kothambari eshtu baaki,Kannada,check_stock,unknown
hege use maadali please tell me abhi,Code-Mixed,help,dal
demand estimate for sugar,English,get_prediction,sugar
kitna maal pada hai please,Hindi,check_stock,unknown
sugar restock karo urgent quickly,Code-Mixed,add_stock,sugar
help with forecasting now,English,help,unknown
nange sahaya beku,Kannada,help,unknown
check expired items,English,check_stock,unknown
sugar khatam ho raha hai order karo please,Hindi,add_stock,sugar
yaav items low ide batao quickly,Code-Mixed,low_stock_alert,unknown
kya khatam ho raha hai quickly,Hindi,low_stock_alert,unknown
kal kitna rice bikega predict karo quickly,Code-Mixed,get_prediction,rice
tel ka dabba aaya hai daldo please,Hindi,add_stock,dal
agle hafte sugar ki demand kya hogi now,Hindi,get_prediction,sugar
what will sell most tomorrow please,English,get_prediction,unknown
biscuit inventory now,English,check_stock,unknown
minimum stock hege set maadali now,Kannada,help,dal
kya available hai today,Code-Mixed,check_stock,unknown
nearly empty items please,English,low_stock_alert,unknown
naale hisaab haaki,Kannada,get_prediction,unknown
guide for adding stock now,English,help,unknown
stock khatam hone wala kaun sa quickly,Hindi,low_stock_alert,unknown
guide please dikhao now,Code-Mixed,help,unknown
kal kitna chawal bikega please,Hindi,get_prediction,rice
kya khatam hone wala hai alert do please,Hindi,low_stock_alert,unknown
tyohar mein kitna bikega please,Hindi,get_prediction,unknown
forecast hege kaela yuttade,Kannada,help,unknown
kya almost khatam hai now,Hindi,low_stock_alert,unknown
predict sales for monday please,English,get_prediction,unknown
enne tin eshtu uliyitu,Kannada,check_stock,oil
system kaise kaam karta hai explain jaldi,Code-Mixed,help,unknown
kaju kitne hain,Hindi,check_stock,unknown
help menu please,English,help,unknown
help menu dikhao now,Hindi,help,unknown
tutorial please please,English,help,unknown
agle mahine ke liye stock plan,Hindi,get_prediction,unknown
usage instructions now,English,help,unknown
naale yaav mugiyutte now,Kannada,low_stock_alert,unknown
enne tin bandide haaku,Kannada,add_stock,oil
masala thumbi please,Kannada,add_stock,unknown
jasti bikuna item heli please,Kannada,get_prediction,unknown
urgent items kya hain today,Code-Mixed,low_stock_alert,unknown
enne 5 litre haaku stock mein please,Code-Mixed,add_stock,oil
aaya maal system mein dalo please,Hindi,add_stock,dal
forecast dal sales quickly,English,get_prediction,dal
sakkare eshtu remaining now,Code-Mixed,check_stock,sugar
remaining turmeric stock,English,check_stock,unknown
what needs restocking,English,check_stock,unknown
aaj kya finish hoga please,Hindi,low_stock_alert,unknown
forecast kaise kaam karta hai now,Hindi,help,unknown
hittu 5 kg haaku,Kannada,add_stock,flour
kaachupetti eshtu ide,Kannada,check_stock,unknown
nidhaana item heli,Kannada,get_prediction,unknown
check all items,English,check_stock,unknown
update stock with new delivery,English,add_stock,unknown
dhaniya kitna bacha hai,Hindi,check_stock,unknown
akki biku andaaja kodu,Kannada,get_prediction,rice
add received goods to inventory,English,add_stock,unknown
minimum stock kaise set kare now,Hindi,help,unknown
we need to reorder eggs,English,add_stock,unknown
how do I use this quickly,English,help,unknown
makhan kitna hai,Hindi,check_stock,unknown
kal ka hisab lagao,Hindi,get_prediction,unknown
10 kg chawal add karo,Hindi,add_stock,rice
aaj kya order karna padega today,Code-Mixed,low_stock_alert,unknown
is hafte tel kitna lagega,Hindi,get_prediction,oil
naale akki sales prediction do jaldi,Code-Mixed,get_prediction,rice
sabbu 100 haaku please now,Code-Mixed,add_stock,soap
refill cooking oil please,English,add_stock,oil
sab items ki demand batao please,Hindi,get_prediction,unknown
aLavo kama stock yaav,Kannada,low_stock_alert,unknown
tutorial chahiye help karo please,Code-Mixed,help,unknown
help with forecasting,English,help,unknown
naya hu kaise shuru karu now,Hindi,help,unknown
roz ka low stock report,Hindi,low_stock_alert,unknown
naye user ke liye guide now,Code-Mixed,help,unknown
emergency restock kaun sa today,Code-Mixed,low_stock_alert,unknown
milk available hai kya today please,Code-Mixed,check_stock,milk
agarbatti eshtu ide,Kannada,check_stock,unknown
naale eshtu mugitu please,Kannada,low_stock_alert,unknown
stock check maadi,Kannada,check_stock,unknown
upayoga vidhana heli,Kannada,help,unknown
yaav urgent ide now,Kannada,low_stock_alert,unknown
kaunsa maal toot gaya now,Hindi,low_stock_alert,unknown
chawal kitna hai abhi,Hindi,check_stock,rice
rashana eshtu uliyitu,Kannada,check_stock,unknown
somvara ge forecast heli please,Kannada,get_prediction,unknown
predict top selling items now,English,get_prediction,unknown
features kya hain explain karo please,Code-Mixed,help,unknown
sabbu eshtu ide tell me,Code-Mixed,check_stock,oil
how much rice will sell tomorrow,English,get_prediction,rice
how to update inventory please,English,help,unknown
what is almost over,English,low_stock_alert,unknown
raje dinakke forecast please,Kannada,get_prediction,unknown
getting started please help jaldi,Code-Mixed,help,unknown
kaunsa item kam ho raha hai now,Hindi,low_stock_alert,unknown
kya khatam ho raha hai please,Hindi,low_stock_alert,unknown
next week ka demand batao abhi,Code-Mixed,get_prediction,unknown
predict oil consumption please,English,get_prediction,oil
10 kg kadala bele haaku please,Kannada,add_stock,dal
dal packet count,English,check_stock,dal
mujhe madad chahiye now,Hindi,help,unknown
naale ge hittu eshtu beku,Kannada,get_prediction,flour
guide please dikhao,Code-Mixed,help,unknown
dal stock kya show karega please,Code-Mixed,check_stock,dal
hege use maadali please tell me now,Code-Mixed,help,dal
alert hege set maadali please,Kannada,help,dal
agle mahine ke liye stock plan now,Hindi,get_prediction,unknown
sabse jyada bikne wale item batao now,Hindi,get_prediction,unknown
expected sales for flour tomorrow now,English,get_prediction,flour
juice eshtu ide,Kannada,check_stock,unknown
stock shortage list please please,English,low_stock_alert,unknown
predict sales for tomorrow please now,Code-Mixed,get_prediction,unknown
kya khareedna chahiye next week ke liye quickly,Code-Mixed,get_prediction,unknown
getting started please help,Code-Mixed,help,unknown
munde vaara sakkare bedu eshtu please,Kannada,get_prediction,sugar
atta stock level kya hai,Code-Mixed,check_stock,flour
tuppada stock jaasti karo now,Code-Mixed,add_stock,ghee
hege upayogisu now,Kannada,help,unknown
yaav items low ide batao asap,Code-Mixed,low_stock_alert,unknown
khaali hone wale items batao abhi,Code-Mixed,low_stock_alert,unknown
sabbu 100 haaku please quickly,Code-Mixed,add_stock,soap
weekend mein kya jyada bikega please,Hindi,get_prediction,unknown
makhan ka naya stock daalo,Hindi,add_stock,unknown
zero stock kaun sa hai now,Hindi,low_stock_alert,unknown
naya maal aaya hai add karo,Hindi,add_stock,unknown
uppu eshtu ide,Kannada,check_stock,salt
dal order maadi jaldi asap,Code-Mixed,add_stock,dal
tea kitna stock hai tell me,Code-Mixed,check_stock,oil
akki order kodu,Kannada,add_stock,rice
low stock items list please today,Code-Mixed,low_stock_alert,unknown
low stock items list please jaldi,Code-Mixed,low_stock_alert,unknown
stock alert do,Hindi,low_stock_alert,unknown
emergency alli yaav order maadali,Kannada,low_stock_alert,dal
tell me items that are almost finished please,English,low_stock_alert,oil
tea kitna stock hai tell me quickly,Code-Mixed,check_stock,oil
stock prediction for next 7 days quickly,Code-Mixed,get_prediction,unknown
stock prediction for next 7 days jaldi,Code-Mixed,get_prediction,unknown
predict slow moving items now,English,get_prediction,unknown
stock khatam hone wala kaun sa please,Hindi,low_stock_alert,unknown
haalu order maadi please quickly,Code-Mixed,add_stock,milk
how to add stock batao now,Code-Mixed,help,unknown
explain stock prediction,English,help,unknown
emergency alli yaav order maadali now,Kannada,low_stock_alert,dal
predict tomorrow's need please,English,get_prediction,unknown
raje dinakke forecast,Kannada,get_prediction,unknown
naale yaav mugiyutte,Kannada,low_stock_alert,unknown
khaali hone wale items batao today,Code-Mixed,low_stock_alert,unknown
check pepper stock,English,check_stock,unknown
smartstock kya hai aur kaise use kare now,Code-Mixed,help,unknown
kaunsa maal toot gaya please,Hindi,low_stock_alert,unknown
soap inventory check please please,Code-Mixed,check_stock,soap
chai taa please,Kannada,add_stock,tea
rice ka stock check karo please quickly,Code-Mixed,check_stock,rice
aaj ka shortage batao now,Hindi,low_stock_alert,unknown
how to add items please,English,help,unknown
dal eshtu baaki ide,Kannada,check_stock,dal
tuppada stock jaasti karo,Code-Mixed,add_stock,ghee
tel ka dabba kitna bacha,Hindi,check_stock,oil
tarkari stock jaasti maadi please,Kannada,add_stock,unknown
shortage items today please,English,low_stock_alert,unknown
festival ke liye stock badhao please,Hindi,add_stock,unknown
atta stock level kya hai please,Code-Mixed,check_stock,flour
haalu order maadi please,Kannada,add_stock,milk
app kaise chalayein now,Hindi,help,unknown
predict tomorrow's need now,English,get_prediction,unknown
100 sabun dalo please,Hindi,add_stock,dal
predict festive season demand please,English,get_prediction,unknown
sompu eshtu ide,Kannada,check_stock,unknown
hittu 25 kg order karo today,Code-Mixed,add_stock,flour
total inventory count,English,check_stock,unknown
system kaise kaam karta hai explain today,Code-Mixed,help,unknown
haalu bedu eshtu aagutte quickly,Kannada,get_prediction,milk
sab items check kar do please,Code-Mixed,check_stock,unknown
reorder spices,English,add_stock,unknown
stock update karo after delivery asap,Code-Mixed,add_stock,unknown
ella item bedu heli,Kannada,get_prediction,unknown
restock sab items karo today,Code-Mixed,add_stock,unknown
rice ka stock kya hai please,Hindi,check_stock,rice
haalu order maadi please today,Code-Mixed,add_stock,milk
biscuit stock tilikoli,Kannada,check_stock,unknown
help menu dikhao,Hindi,help,unknown
items that will finish today now,English,low_stock_alert,unknown
low stock ki suchi do please,Hindi,low_stock_alert,unknown
doodh order karo,Hindi,add_stock,milk
yaav maal illa now,Kannada,low_stock_alert,unknown
kya khatam ho raha hai tell me now,Code-Mixed,low_stock_alert,oil
yaav features ide now,Kannada,help,unknown
tea powder eshtu ide,Kannada,check_stock,tea
itwaar ko kya chahiye hoga now,Hindi,get_prediction,unknown
naye user ke liye guide jaldi,Code-Mixed,help,unknown
yaav item kama aagutte now,Kannada,low_stock_alert,unknown
stock add karne ka tarika batao,Hindi,help,unknown
bread ka stock daalo,Hindi,add_stock,unknown
smartstock kya hai aur kaise use kare please,Code-Mixed,help,unknown
tel ki khapat batao,Hindi,get_prediction,oil
dal mangao please,Hindi,add_stock,dal
roz ka low stock report now,Hindi,low_stock_alert,unknown
chutti ke din ke liye forecast please,Hindi,get_prediction,unknown
alert kaise set kare please,Hindi,help,unknown
how to add stock batao jaldi,Code-Mixed,help,unknown
kadale eshtu ide,Kannada,check_stock,dal
tutorial please,English,help,unknown
