sentence,language,intent,product_mentioned
alert do low items ke liye now,Code-Mixed,low_stock_alert,unknown
maal kitna hai dukaan mein,Hindi,check_stock,unknown
yaav item jasti biku heli please,Kannada,get_prediction,unknown
naale yaav mugiyutte please,Kannada,low_stock_alert,unknown
arisina eshtu uliyitu,Kannada,check_stock,unknown
kal kitna rice bikega predict karo abhi,Code-Mixed,get_prediction,rice
minimum stock threshold crossed now,English,low_stock_alert,unknown
oil remaining kitna hai abhi now,Code-Mixed,check_stock,oil
emergency reorder needed for which items now,English,low_stock_alert,unknown
add 5 litre oil cans please,English,add_stock,oil
hege upayogisu please,Kannada,help,unknown
akki stock eshtu ide check karo,Code-Mixed,check_stock,rice
somwar ke liye forecast batao,Hindi,get_prediction,unknown
murmura quantity,English,check_stock,unknown
dal stock kya show karega now,Code-Mixed,check_stock,dal
stock kaise check karein,Hindi,help,unknown
stock update maadi,Kannada,check_stock,unknown
indina shortage heli now,Kannada,low_stock_alert,unknown
inventory update hege maadali please,Kannada,help,dal
shampoo kitna bacha hai,Hindi,check_stock,unknown
habba alli eshtu biku,Kannada,get_prediction,unknown
stock warning do,Hindi,low_stock_alert,unknown
help me with inventory quickly,English,help,unknown
masale order karo,Hindi,add_stock,unknown
low stock warning quickly,English,low_stock_alert,unknown
what is left in store,English,check_stock,unknown
jaldi khatam ho raha kaunsa please,Hindi,low_stock_alert,unknown
check bread quantity,English,check_stock,unknown
hosa stock haaku system alli,Kannada,add_stock,unknown
akki chaalu eshtu,Kannada,check_stock,rice
demand estimate please batao abhi,Code-Mixed,get_prediction,unknown
dal ka stock check karo,Hindi,check_stock,dal
hosa batch haaku,Kannada,add_stock,unknown
sabzi ka stock badhao please,Hindi,add_stock,unknown
use karne ka tarika batao please,Hindi,help,unknown
yaav maal illa,Kannada,low_stock_alert,unknown
nange sahaya beku quickly,Kannada,help,unknown
low stock warning,English,low_stock_alert,unknown
tutorial beku,Kannada,help,unknown
shuruat kaise kare now,Hindi,help,unknown
sabun order karo,Hindi,add_stock,soap
put new stock in please,English,add_stock,unknown
delivery nantara update maadi please,Kannada,add_stock,unknown
angadi saamanu check maadi,Kannada,check_stock,unknown
sugar ki mang ka andaza lagao now,Hindi,get_prediction,sugar
roz ka low stock report please,Hindi,low_stock_alert,unknown
demand forecast chahiye,Hindi,get_prediction,unknown
help chahiye kaise use karu,Code-Mixed,help,unknown
check ghee level,English,check_stock,ghee
order more dal please,English,add_stock,dal
system kaise kaam karta hai explain asap,Code-Mixed,help,unknown
enne tin bandide haaku please,Kannada,add_stock,oil
ee vaara enu aaagabeku,Kannada,get_prediction,unknown
features kya hain explain karo today,Code-Mixed,help,unknown
forecast dal sales please,English,get_prediction,dal
report hege nodali,Kannada,help,dal
enne upayoga eshtu aagutte please,Kannada,get_prediction,oil
how to add stock batao today,Code-Mixed,help,unknown
stock update karo after delivery quickly,Code-Mixed,add_stock,unknown
sabse jyada bikne wale item batao please,Hindi,get_prediction,unknown
expected demand this week,English,get_prediction,unknown
stock shortage warning now,English,low_stock_alert,unknown
coffee ka stock badhao,Hindi,add_stock,unknown
demand estimate please batao please,Code-Mixed,get_prediction,unknown
rice ka 10 kg add karo please today,Code-Mixed,add_stock,rice
chai ka naya stock daalo now,Code-Mixed,add_stock,tea
kapde dhone ka powder daalo,Hindi,add_stock,unknown
low stock pattiyaa kodu please,Kannada,low_stock_alert,unknown
matchbox kitne hain,Hindi,check_stock,unknown
order 25 kg atta please,English,add_stock,flour
which items are low batao please,Code-Mixed,check_stock,unknown
sahaya beku now,Kannada,help,unknown
how much butter is there,English,check_stock,unknown
stock mugiyutte ide yaav please,Kannada,low_stock_alert,unknown
hege use maadali please tell me asap,Code-Mixed,help,dal
bread ka stock daalo please,Hindi,add_stock,unknown
emergency mein kya order karu,Hindi,low_stock_alert,unknown
naya maal add karo system mein please,Code-Mixed,add_stock,unknown
bedu andaaja beku now,Kannada,get_prediction,unknown
sugar restock karo urgent today,Code-Mixed,add_stock,sugar
jaldi restock maadi please,Kannada,add_stock,unknown
alert do low items ke liye jaldi,Code-Mixed,low_stock_alert,unknown
which products are critically low please,English,low_stock_alert,unknown
kaise start karu now,Hindi,help,unknown
demand estimate for sugar now,English,get_prediction,sugar
check soap quantity,English,check_stock,soap
haldi kitni bachi,Hindi,check_stock,unknown
hege use maadali please tell me quickly,Code-Mixed,help,dal
sales prediction for rice now,English,get_prediction,rice
how many packets of noodles,English,check_stock,unknown
mujhe madad chahiye please,Hindi,help,unknown
enu mugiyutte ide,Kannada,low_stock_alert,unknown
pani ki bottle kitni,Hindi,check_stock,unknown
sugar demand forecast please,Code-Mixed,get_prediction,sugar
how to add stock batao asap,Code-Mixed,help,unknown
kaun sa maal nahi bacha please,Hindi,low_stock_alert,unknown
stock low hai kya aaj quickly,Code-Mixed,low_stock_alert,unknown
agle hafte sugar ki demand kya hogi quickly,Hindi,get_prediction,sugar
kya khareedna chahiye next week ke liye please,Code-Mixed,get_prediction,unknown
chai powder stock kitna ide,Code-Mixed,check_stock,tea
upayoga vidhana heli please,Kannada,help,unknown
chai ka naya stock daalo quickly,Code-Mixed,add_stock,tea
milk stock add karo please,Code-Mixed,add_stock,milk
urgent items kya hain please,Code-Mixed,low_stock_alert,unknown
guide dikhao quickly,Hindi,help,unknown
restocking needed immediately please,English,add_stock,oil
25 kg hittu order maadi please,Kannada,add_stock,flour
help menu tilikoli now,Kannada,help,unknown
ella item stock heli,Kannada,check_stock,unknown
milk stock add karo asap,Code-Mixed,add_stock,milk
bele stock eshtu please,Kannada,check_stock,dal
hosa maal haaku,Kannada,add_stock,unknown
reorder spices please,English,add_stock,unknown
urgent items kya hain now,Code-Mixed,low_stock_alert,unknown
juice badhao,Hindi,add_stock,unknown
yaav features ide,Kannada,help,unknown
milk available hai kya today now,Code-Mixed,check_stock,milk
dal order maadi jaldi today,Code-Mixed,add_stock,dal
replenish masala stock,English,add_stock,unknown
slow item batao,Hindi,get_prediction,unknown
weekend mein kya jyada bikega forecast asap,Code-Mixed,get_prediction,unknown
app hege chaalaisu,Kannada,help,unknown
check masala stock,English,check_stock,unknown
add cold drink bottles please,English,add_stock,unknown
chawal kitna bacha hai,Hindi,check_stock,rice
how to add stock batao quickly,Code-Mixed,help,unknown
forecast for upcoming holiday please,English,get_prediction,unknown
stock low hai kya aaj abhi,Code-Mixed,low_stock_alert,unknown
stock mugiyutte ide yaav quickly,Kannada,low_stock_alert,unknown
naale akki sales prediction do today,Code-Mixed,get_prediction,rice
what items do we have,English,check_stock,unknown
munde vaara sakkare bedu eshtu now,Kannada,get_prediction,sugar
features kya hain explain karo asap,Code-Mixed,help,unknown
pratidinada low stock report,Kannada,low_stock_alert,unknown
kya sab theek hai,Hindi,check_stock,unknown
running low on what items,English,low_stock_alert,unknown
dal order maadi jaldi quickly,Code-Mixed,add_stock,dal
coffee stock jaasti maadi,Kannada,add_stock,unknown
naale akki sales prediction do quickly,Code-Mixed,get_prediction,rice
enne eshtu uliyitu please,Kannada,check_stock,oil
help chahiye kaise use karu quickly,Code-Mixed,help,unknown
kal kya best seller hoga now,Hindi,get_prediction,unknown
help with this system,English,help,unknown
kal kitna rice bikega predict karo please,Code-Mixed,get_prediction,rice
out of stock alert,English,low_stock_alert,unknown
naya maal add karo system mein now,Code-Mixed,add_stock,unknown
increase juice stock please,English,add_stock,unknown
washing powder kitna,Hindi,check_stock,unknown
dal ka forecast batao quickly,Hindi,get_prediction,dal
smartstock kya hai aur kaise use kare jaldi,Code-Mixed,help,unknown
kya khatam ho raha hai tell me jaldi,Code-Mixed,low_stock_alert,oil
cold drink order karo please,Hindi,add_stock,unknown
hittu 5 kg haaku please,Kannada,add_stock,flour
aata 5 kg daalo,Hindi,add_stock,unknown
help chahiye kaise use karu please,Code-Mixed,help,unknown
smartstock endare enu please,Kannada,help,unknown
increase salt stock by 10 kg please,English,add_stock,salt
tutorial please quickly,English,help,unknown
habba ge munche stock jaasti maadi please,Kannada,add_stock,unknown
emergency restock kaun sa abhi,Code-Mixed,low_stock_alert,unknown
jaldi khatam ho raha kaunsa,Hindi,low_stock_alert,unknown
badam ka stock kitna,Hindi,check_stock,unknown
naya maal add karo system mein today,Code-Mixed,add_stock,unknown
predict slow moving items,English,get_prediction,unknown
hege start maadali,Kannada,help,dal
quick inventory check maadi,Code-Mixed,check_stock,unknown
kal ka hisab lagao please,Hindi,get_prediction,unknown
new stock arrived please add please,English,add_stock,unknown
stock kaise check karein please,Hindi,help,unknown
jasti bikuna item heli,Kannada,get_prediction,unknown
forecast for this weekend please,English,get_prediction,unknown
10 kg akki haaku,Kannada,add_stock,rice
minimum stock threshold crossed please,English,low_stock_alert,unknown
which items are low now,English,low_stock_alert,unknown
features kya hain explain karo abhi,Code-Mixed,help,unknown
show guide quickly,English,help,unknown
add received items to system,English,add_stock,unknown
soap inventory check please,Code-Mixed,check_stock,soap
predict high demand items please,English,get_prediction,unknown
masala stock check maadi,Kannada,check_stock,unknown
what is running out,English,low_stock_alert,unknown
urgent items kya hain abhi,Code-Mixed,low_stock_alert,unknown
stock low hai kya aaj jaldi,Code-Mixed,low_stock_alert,unknown
enu maadabahudu please,Kannada,help,unknown
show me how to start now,English,help,unknown
naale ge forecast maadi please today,Code-Mixed,get_prediction,unknown
bele eshtu uliyitu,Kannada,check_stock,dal
demand forecast please now,English,get_prediction,unknown
doodh ki demand kya hogi quickly,Hindi,get_prediction,milk
check stock of sugar,English,check_stock,sugar
add delivered items now,English,add_stock,unknown
jaldi order chahiye kaun se item mein now,Hindi,low_stock_alert,unknown
system kaise kaam karta hai explain quickly,Code-Mixed,help,unknown
masala order maadi please,Kannada,add_stock,unknown
sugar demand forecast please today,Code-Mixed,get_prediction,sugar
chai ka naya stock daalo,Code-Mixed,add_stock,tea
urgent items kya hain,Code-Mixed,low_stock_alert,unknown
stock ki list dikhao,Hindi,check_stock,unknown
help menu tilikoli,Kannada,help,unknown
current stock of chawal batao now,Code-Mixed,check_stock,rice
weekend mein kya jyada bikega forecast quickly,Code-Mixed,get_prediction,unknown
aaj kitna khatam hua,Hindi,low_stock_alert,unknown
yaav items low ide batao now,Code-Mixed,low_stock_alert,unknown
akki stock eshtu ide check karo now,Code-Mixed,check_stock,rice
predict sales for tomorrow please asap,Code-Mixed,get_prediction,unknown
shortage items today now,English,low_stock_alert,unknown
jaldi order chahiye kaun se item mein,Hindi,low_stock_alert,unknown
jaldi khatam ho raha kaunsa now,Hindi,low_stock_alert,unknown
predict sales for tomorrow please please,Code-Mixed,get_prediction,unknown
sabbu eshtu ide tell me quickly,Code-Mixed,check_stock,oil
weekend alli enu jasti biku,Kannada,get_prediction,unknown
kaun sa item jyada bikta hai batao now,Hindi,get_prediction,unknown
chutti ke din ke liye forecast now,Hindi,get_prediction,unknown
stock update karo after delivery please,Code-Mixed,add_stock,unknown
naale ge forecast maadi please quickly,Code-Mixed,get_prediction,unknown
demand estimate please batao today,Code-Mixed,get_prediction,unknown
sugar kitna hai currently now,Code-Mixed,check_stock,sugar
getting started please help quickly,Code-Mixed,help,unknown
tea kitna stock hai tell me now,Code-Mixed,check_stock,oil
kya khareedna chahiye next week ke liye,Code-Mixed,get_prediction,unknown
sugar restock karo urgent asap,Code-Mixed,add_stock,sugar
hege use maadali please tell me please,Code-Mixed,help,dal
how to add stock batao please,Code-Mixed,help,unknown
help chahiye now,Hindi,help,unknown
kya khatam ho raha hai,Hindi,low_stock_alert,unknown
bhanuvaara enu beku aagutte please,Kannada,get_prediction,unknown
25 kg atta order karo please,Hindi,add_stock,flour
aaj reorder kya karna please,Hindi,low_stock_alert,unknown
kaun sa item jyada bikta hai batao,Hindi,get_prediction,unknown
jaldi mugiyutte ide yaav now,Kannada,low_stock_alert,unknown
kya available hai today now,Code-Mixed,check_stock,unknown
upayoga vidhana heli now,Kannada,help,unknown
cheeni ka stock badhao please,Hindi,add_stock,sugar
jaldi mugiyutte ide yaav,Kannada,low_stock_alert,unknown
naya maal aaya hai add karo please,Hindi,add_stock,unknown
stock prediction endare enu now,Kannada,help,unknown
kaise use karu please,Hindi,help,unknown
emergency restock kaun sa quickly,Code-Mixed,low_stock_alert,unknown
naale ge forecast maadi please jaldi,Code-Mixed,get_prediction,unknown
cheeni ka stock badhao,Hindi,add_stock,sugar
bring more biscuits,English,add_stock,unknown
munde vaara eshtu order maadali now,Kannada,get_prediction,dal
kal kitna chawal bikega,Hindi,get_prediction,rice
complete stock report please now,Code-Mixed,check_stock,unknown
naya hu kaise shuru karu,Hindi,help,unknown
namkeen eshtu uliyitu,Kannada,check_stock,unknown
chai taa,Kannada,add_stock,tea
naale akki eshtu biku quickly,Kannada,get_prediction,rice
predict top selling items please,English,get_prediction,unknown
getting started guide now,English,help,unknown
stock prediction kya hoti hai now,Hindi,help,unknown
washing powder eshtu,Kannada,check_stock,unknown
how to get started now,English,help,unknown
inventory update kaise kare please,Hindi,help,unknown
emergency restock kaun sa now,Code-Mixed,low_stock_alert,unknown
sab ka inventory status do please,Code-Mixed,check_stock,unknown
7 dina ge stock eshtu irabeku now,Kannada,get_prediction,unknown
tel ki khapat batao quickly,Hindi,get_prediction,oil
itwaar ko kya chahiye hoga please,Hindi,get_prediction,unknown
hosa batch haaku please,Kannada,add_stock,unknown
guide dikhao,Hindi,help,unknown
emergency mein kya order karu please,Hindi,low_stock_alert,unknown
place order for rice,English,add_stock,rice
sakkare eshtu uliyitu,Kannada,check_stock,sugar
cheeni kitni bachi,Hindi,check_stock,sugar
naya stock daalo system mein,Hindi,add_stock,unknown
minimum ge keLage yaav ide please,Kannada,low_stock_alert,unknown
naale reorder yaav,Kannada,low_stock_alert,unknown
sabbu order maadi please,Kannada,add_stock,soap
item kaise daale now,Hindi,help,unknown
demand estimate for sugar please,English,get_prediction,sugar
add new stock of butter please,English,add_stock,unknown
urgent order yaav item ge,Kannada,low_stock_alert,unknown
remaining stock report,English,check_stock,unknown
enne upayoga eshtu aagutte now,Kannada,get_prediction,oil
expected demand this week now,English,get_prediction,unknown
what can you do now,English,help,unknown
emergency reorder needed for which items please,English,low_stock_alert,unknown
maida kitni bachi hai,Hindi,check_stock,flour
how to update inventory now,English,help,unknown
tel ki khapat batao please,Hindi,get_prediction,oil
enu maadabahude please,Kannada,help,unknown
almost mugiyitu enu please,Kannada,low_stock_alert,unknown
stock khatam hone wala kaun sa,Hindi,low_stock_alert,unknown
tutorial beku please,Kannada,help,unknown
weekend mein kya jyada bikega forecast,Code-Mixed,get_prediction,unknown
naya batch daalo,Hindi,add_stock,unknown
wheat flour remaining,English,check_stock,flour
salt stock check,English,check_stock,salt
stock add maadalu heli now,Kannada,help,dal
stock alert kodu,Kannada,low_stock_alert,unknown
sugar khatam ho raha hai order karo,Hindi,add_stock,sugar
how to add items now,English,help,unknown
what will be needed on sunday,English,get_prediction,unknown
minimum stock kaise set kare please,Hindi,help,unknown
what will be milk demand now,English,get_prediction,milk
inventory update kaise kare now,Hindi,help,unknown
urgent order yaav item ge please,Kannada,low_stock_alert,unknown
haalu ide ya please,Kannada,check_stock,milk
what commands are available,English,help,unknown
low stock ki suchi do quickly,Hindi,low_stock_alert,unknown
low stock warning now,English,low_stock_alert,unknown
haalu bedu eshtu aagutte now,Kannada,get_prediction,milk
atta stock level kya hai quickly,Code-Mixed,check_stock,flour
kya khatam ho raha hai tell me today,Code-Mixed,low_stock_alert,oil
besan kitna hai,Hindi,check_stock,unknown
tutorial chahiye help karo abhi,Code-Mixed,help,unknown
tuppada stock eshtu ide,Kannada,check_stock,ghee
alert me for low stock please,English,low_stock_alert,unknown
munde vaara eshtu order maadali please,Kannada,get_prediction,dal
forecast next month inventory need please,English,get_prediction,unknown
add new batch of goods please,English,add_stock,unknown
item kaise daale,Hindi,help,unknown
how to check stock quickly,English,help,unknown
aaj kya finish hoga now,Hindi,low_stock_alert,unknown
khaali hone wale items batao asap,Code-Mixed,low_stock_alert,unknown
item hege haakaali,Kannada,help,unknown
dal ka forecast batao,Hindi,get_prediction,dal
kal kitna rice bikega predict karo asap,Code-Mixed,get_prediction,rice
habba alli eshtu biku now,Kannada,get_prediction,unknown
sakkare bedu andaaja haaki now,Kannada,get_prediction,sugar
kya khareedna chahiye next week ke liye today,Code-Mixed,get_prediction,unknown
yaav maal mugitu now,Kannada,low_stock_alert,unknown
expected demand this week please,English,get_prediction,unknown
how much paneer is left,English,check_stock,unknown
guide dikhao now,Hindi,help,unknown
5 litre tel ka tin daalo,Hindi,add_stock,oil
emergency restock kaun sa,Code-Mixed,low_stock_alert,unknown
urgent items kya hain quickly,Code-Mixed,low_stock_alert,unknown
smartstock kya hai aur kaise use kare asap,Code-Mixed,help,unknown
naale ge forecast maadi please now,Code-Mixed,get_prediction,unknown
reorder tea,English,add_stock,tea
kal kitna rice bikega predict karo,Code-Mixed,get_prediction,rice
tarkari stock jaasti maadi,Kannada,add_stock,unknown
agle hafte sugar ki demand kya hogi,Hindi,get_prediction,sugar
stock prediction for next 7 days,Code-Mixed,get_prediction,unknown
stock kaise check karein now,Hindi,help,unknown
what will be milk demand quickly,English,get_prediction,milk
remaining wheat quantity,English,check_stock,unknown
daily low stock report now,English,low_stock_alert,unknown
sugar ki mang ka andaza lagao please,Hindi,get_prediction,sugar
what commands are available now,English,help,unknown
rice ka 10 kg add karo please please,Code-Mixed,add_stock,rice
what will be milk demand,English,get_prediction,milk
jeerige eshtu uliyitu,Kannada,check_stock,unknown
remaining cooking oil,English,check_stock,oil
minimum se neeche kya hai,Hindi,low_stock_alert,unknown
urgent items kya hain jaldi,Code-Mixed,low_stock_alert,unknown
item hege haakaali please,Kannada,help,unknown
hege use maadali please tell me,Code-Mixed,help,dal
sakkare cheelagalu eshtu,Kannada,check_stock,sugar
stock summary abhi do now,Code-Mixed,check_stock,unknown
mala mili hai add karo please,Hindi,add_stock,unknown
features kya hain explain karo quickly,Code-Mixed,help,unknown
kya almost khatam hai please,Hindi,low_stock_alert,unknown
kapada thovuva powder haaku please,Kannada,add_stock,unknown
predict demand for sugar next week please,English,get_prediction,sugar
sakkare bedu andaaja haaki,Kannada,get_prediction,sugar
kya khatam hone wala hai alert do now,Hindi,low_stock_alert,unknown
stock warning do abhi asap,Code-Mixed,low_stock_alert,unknown
cold drink order karo,Hindi,add_stock,unknown
zero stock yaav ide please,Kannada,low_stock_alert,unknown
phenyl kitna hai,Hindi,check_stock,unknown
rave eshtu uliyitu,Kannada,check_stock,unknown
kaise start karu,Hindi,help,unknown
tell me items that are almost finished,English,low_stock_alert,oil
check maida stock,English,check_stock,flour
bele 10 kg add please quickly,Code-Mixed,add_stock,dal
sago kitna bacha,Hindi,check_stock,unknown
praarambbha hege maadaali now,Kannada,help,unknown
stock shortage warning please,English,low_stock_alert,unknown
weekend ge mundhe stock jaasti please,Kannada,add_stock,unknown
bele stock konchaa ide check,Code-Mixed,check_stock,dal
what are the features now,English,help,unknown
bele stock eshtu,Kannada,check_stock,dal
weekend mein kya jyada bikega forecast abhi,Code-Mixed,get_prediction,unknown
kya khatam ho raha hai tell me abhi,Code-Mixed,low_stock_alert,oil
how to use the app,English,help,unknown
stock prediction kya hoti hai please,Hindi,help,unknown
tuppada stock jaasti karo quickly,Code-Mixed,add_stock,ghee
add soap to inventory please,English,add_stock,soap
detergent eshtu ide,Kannada,check_stock,unknown
hege upayogisu,Kannada,help,unknown
next week ka demand batao quickly,Code-Mixed,get_prediction,unknown
refill cooking oil,English,add_stock,oil
aaj kya order karna padega quickly,Code-Mixed,low_stock_alert,unknown
guide for adding stock,English,help,unknown
sabbu eshtu ide tell me please,Code-Mixed,check_stock,oil
chips ka stock kitna,Hindi,check_stock,unknown
update inventory after delivery,English,add_stock,unknown
low stock pattiyaa kodu,Kannada,low_stock_alert,unknown
enu mugiyutte ide now,Kannada,low_stock_alert,unknown
stock add maadalu heli,Kannada,help,dal
haalu order maadi please,Code-Mixed,add_stock,milk
godambi eshtu ide,Kannada,check_stock,unknown
stock warning do abhi please,Code-Mixed,low_stock_alert,unknown
stock hege check maadali,Kannada,help,dal
